year,gnis_id,geometry,metadata,number_of_records,parkname,region,state,unit_code,unit_name,unit_type,visitors
1941,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,895874
1955,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,264500
1976,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,21000
1941,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,79049
1931,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,154000
1974,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,19400
1936,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,4158
1934,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,17010
1937,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,6043
Total,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,871922828
Total,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,105764049
Total,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,14391636
Total,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,17823602
Total,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,521947058
Total,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,2148109
Total,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,3311344
Total,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,27109570
Total,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,22470450
2016,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,15175578
2016,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2411711
2016,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,458000
2016,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,292367
2016,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,11312786
2016,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,80696
2016,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,83889
2016,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,458776
2016,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,321796
2015,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,15054603
2015,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2274635
2015,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,400413
2015,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,289885
2015,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,10712674
2015,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,72606
2015,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,89944
2015,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,437184
2015,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,222602
2014,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,13941749
2014,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2153350
2014,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,430927
2014,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,264987
2014,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,10099276
2014,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,82377
2014,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,87774
2014,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,430517
2014,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,173261
2013,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,12877368
2013,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2214565
2013,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,416568
2013,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,263598
2013,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,9354695
2013,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,81710
2013,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,72330
2013,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,447796
2013,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,541581
2012,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,15205059
2012,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2302040
2012,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,480294
2012,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,281833
